Date,Open,High,Low,Close,Volume,Name
2018-04-05,99.2,100.59,97.96,98.63,2864000,TTWO
2018-04-06,97.87,98.41,93.9,94.63,2005800,TTWO
2018-04-09,95.21,97.62,95.02,96.51,2168000,TTWO
2018-04-10,98.52,99.19,96.62,97.64,1966800,TTWO
2018-04-11,96.76,97.95,96.47,96.62,1235400,TTWO
2018-04-12,96.82,98.96,96.47,97.84,1580100,TTWO
2018-04-13,98.81,99.0,96.59,97.19,1398300,TTWO
2018-04-16,97.93,98.87,97.27,98.47,1004900,TTWO
2018-04-17,99.54,102.49,99.29,102.21,2053100,TTWO
2018-04-18,102.16,103.15,100.95,102.5,1477100,TTWO
2018-04-19,101.61,102.17,99.96,100.77,1297900,TTWO
2018-04-20,100.46,100.75,97.28,98.38,1753300,TTWO
2018-04-23,98.56,100.08,97.5,98.12,1247600,TTWO
2018-04-24,98.79,99.91,95.54,96.38,1428500,TTWO
2018-04-25,96.53,97.11,94.59,96.22,1444800,TTWO
2018-04-26,97.1,99.88,97.1,99.19,1617900,TTWO
2018-04-27,99.97,100.08,97.32,98.63,1064300,TTWO
2018-04-30,100.42,100.63,98.2,99.71,1297700,TTWO
2018-05-01,99.37,104.37,99.17,104.3,2736900,TTWO
2018-05-02,104.05,106.42,103.69,104.88,2585900,TTWO
2018-05-03,104.25,110.82,98.87,105.1,9052300,TTWO
2018-05-04,104.04,110.0,104.04,108.76,2368700,TTWO
2018-05-07,110.28,110.84,107.79,110.2,2127600,TTWO
2018-05-08,110.42,112.46,109.67,111.3,2659300,TTWO
2018-05-09,113.13,117.39,111.94,115.99,3122700,TTWO
2018-05-10,116.68,117.4,115.37,117.06,1971200,TTWO
2018-05-11,117.15,117.37,115.35,116.09,1931000,TTWO
2018-05-14,116.94,117.09,113.65,114.4,2438000,TTWO
2018-05-15,113.22,113.82,111.94,113.47,2339700,TTWO
2018-05-16,113.51,114.95,112.43,113.07,4140600,TTWO
2018-05-17,113.33,118.91,112.51,113.88,6114400,TTWO
2018-05-18,113.0,116.0,112.71,115.81,2533000,TTWO
2018-05-21,116.57,118.44,113.9,115.96,2436800,TTWO
2018-05-22,115.96,116.49,113.0,113.24,1274700,TTWO
2018-05-23,112.1,112.89,111.16,112.6,2144300,TTWO
2018-05-24,112.41,112.61,109.86,112.07,1544700,TTWO
2018-05-25,111.87,112.75,111.28,112.02,1058300,TTWO
2018-05-29,110.8,111.84,109.73,110.78,2132800,TTWO
2018-05-30,111.52,111.95,109.92,110.63,1207700,TTWO
2018-05-31,110.89,114.04,110.19,112.08,2182100,TTWO
2018-06-01,112.55,114.87,111.31,114.59,1482600,TTWO
2018-06-04,114.26,115.75,112.76,113.68,1416700,TTWO
2018-06-05,111.3,114.0,111.09,113.26,2375100,TTWO
2018-06-06,113.92,114.32,112.11,112.59,1338600,TTWO
2018-06-07,112.6,113.77,111.71,113.42,1175900,TTWO
2018-06-08,113.07,114.77,112.01,113.42,1248800,TTWO
2018-06-11,113.78,114.94,112.93,113.32,1079900,TTWO
2018-06-12,113.33,114.79,113.21,114.7,1675600,TTWO
2018-06-13,115.0,119.38,115.0,118.46,3050700,TTWO
2018-06-14,119.21,123.1,118.88,121.84,3060400,TTWO
2018-06-15,121.87,123.19,120.38,121.51,2539800,TTWO
2018-06-18,120.86,120.92,119.39,120.69,1309800,TTWO
2018-06-19,118.91,120.02,116.47,117.83,1464100,TTWO
2018-06-20,118.89,119.05,117.18,118.01,1390600,TTWO
2018-06-21,118.05,118.56,115.83,116.5,1165000,TTWO
2018-06-22,117.0,118.51,115.2,116.96,3053400,TTWO
2018-06-25,115.64,117.19,113.79,116.73,2475600,TTWO
2018-06-26,117.7,119.29,115.8,115.91,2101100,TTWO
2018-06-27,116.41,117.23,113.95,113.96,1603900,TTWO
2018-06-28,113.95,118.98,113.52,118.06,2195000,TTWO
2018-06-29,118.82,120.3,118.27,118.36,1633500,TTWO
2018-07-02,117.87,120.21,117.0,119.87,1155300,TTWO
2018-07-03,120.0,120.0,117.77,118.15,834100,TTWO
2018-07-05,119.39,121.0,118.66,120.82,1614000,TTWO
2018-07-06,120.91,123.63,120.54,123.44,1378000,TTWO
2018-07-09,124.43,124.43,120.06,121.97,1229800,TTWO
2018-07-10,121.99,122.37,119.31,121.15,1236900,TTWO
2018-07-11,120.38,124.34,120.01,122.74,1671000,TTWO
2018-07-12,123.27,126.57,123.27,126.24,1300000,TTWO
2018-07-13,126.5,126.75,124.81,126.35,946800,TTWO
2018-07-16,126.25,126.89,125.67,125.89,1060100,TTWO
2018-07-17,124.6,127.92,124.51,126.68,1433700,TTWO
2018-07-18,126.55,127.62,125.85,126.81,1594300,TTWO
2018-07-19,127.54,128.24,126.61,127.41,1391500,TTWO
2018-07-20,127.01,128.18,126.09,126.61,2202200,TTWO
2018-07-23,126.51,127.12,125.11,126.8,1122200,TTWO
2018-07-24,127.84,127.84,123.41,125.16,2068200,TTWO
2018-07-25,125.64,128.7,124.55,127.84,1682400,TTWO
2018-07-26,127.51,127.67,124.89,125.33,1167700,TTWO
2018-07-27,124.01,125.47,120.99,122.58,2172800,TTWO
2018-07-30,122.23,122.43,112.55,113.11,3623200,TTWO
2018-07-31,113.75,115.71,112.43,113.02,2563800,TTWO
2018-08-01,112.34,115.96,111.92,112.24,2236700,TTWO
2018-08-02,111.79,113.79,111.07,113.24,3536000,TTWO
2018-08-03,129.47,130.43,122.09,123.41,7965600,TTWO
2018-08-06,122.8,123.88,120.0,121.32,2998000,TTWO
2018-08-07,121.31,122.91,119.86,122.21,1753100,TTWO
2018-08-08,122.07,125.62,121.16,124.95,2162900,TTWO
2018-08-09,125.39,125.85,123.86,125.2,1558400,TTWO
2018-08-10,124.4,130.0,124.4,128.8,2666900,TTWO
2018-08-13,129.07,131.77,127.91,128.1,1869700,TTWO
2018-08-14,128.93,130.2,127.13,129.09,1041500,TTWO
2018-08-15,127.89,128.61,124.45,125.95,2267400,TTWO
2018-08-16,127.33,127.33,124.89,125.94,1173700,TTWO
2018-08-17,125.26,126.13,123.6,124.3,1078200,TTWO
2018-08-20,124.65,125.6,122.29,124.88,1829100,TTWO
2018-08-21,125.33,126.9,124.37,126.42,1315900,TTWO
2018-08-22,126.04,130.43,125.9,129.23,1770800,TTWO
2018-08-23,129.4,131.52,128.14,130.68,2036300,TTWO
2018-08-24,131.66,134.63,131.27,134.01,1928400,TTWO
2018-08-27,135.26,135.9,132.74,133.37,1200000,TTWO
2018-08-28,133.85,134.34,132.12,133.66,988400,TTWO
2018-08-29,135.22,138.63,134.77,136.09,2015600,TTWO
2018-08-30,136.0,138.65,134.54,134.64,1853300,TTWO
2018-08-31,133.57,133.93,130.51,133.56,2403900,TTWO
2018-09-04,133.18,135.48,131.53,134.53,1172900,TTWO
2018-09-05,134.3,134.45,127.57,128.9,1698700,TTWO
2018-09-06,129.79,130.78,127.81,130.35,1351700,TTWO
2018-09-07,129.43,132.19,128.68,130.54,1378400,TTWO
2018-09-10,131.6,131.66,128.77,129.16,1340600,TTWO
2018-09-11,130.5,134.93,128.52,133.92,1654700,TTWO
2018-09-12,133.74,134.47,131.14,133.48,1079400,TTWO
2018-09-13,134.35,136.37,133.16,136.26,1101900,TTWO
2018-09-14,136.75,136.99,133.71,134.11,985200,TTWO
2018-09-17,134.4,134.66,131.01,131.48,1236800,TTWO
2018-09-18,131.08,134.54,130.69,132.72,1172900,TTWO
2018-09-19,132.55,132.6,128.93,130.57,1466300,TTWO
2018-09-20,131.12,132.5,129.67,130.95,1573800,TTWO
2018-09-21,132.08,134.18,131.04,132.07,2887100,TTWO
2018-09-24,131.28,135.67,130.63,134.88,1421400,TTWO
2018-09-25,135.3,136.34,134.52,135.55,1092400,TTWO
2018-09-26,136.22,137.23,134.34,134.53,1395900,TTWO
2018-09-27,134.87,137.61,134.66,137.07,1293500,TTWO
2018-09-28,137.07,139.6,136.43,137.99,1770800,TTWO
2018-10-01,138.12,139.91,135.55,137.41,1790100,TTWO
2018-10-02,138.0,138.0,133.75,134.38,1932300,TTWO
2018-10-03,135.0,136.27,133.91,136.11,1623600,TTWO
2018-10-04,135.18,135.76,129.47,131.88,1972600,TTWO
2018-10-05,132.26,133.8,128.6,130.6,1370100,TTWO
2018-10-08,129.56,129.99,124.78,126.82,1755000,TTWO
2018-10-09,126.73,130.0,124.38,127.95,1602300,TTWO
2018-10-10,129.99,130.25,121.1,122.25,2616700,TTWO
2018-10-11,122.33,124.91,120.8,122.26,2595100,TTWO
2018-10-12,126.73,130.9,125.86,129.05,2571800,TTWO
2018-10-15,128.27,129.43,124.48,127.78,1375600,TTWO
2018-10-16,129.28,132.36,129.25,132.02,1792300,TTWO
2018-10-17,132.75,133.66,130.4,132.06,1225300,TTWO
2018-10-18,131.18,131.18,124.85,126.87,2414500,TTWO
2018-10-19,127.82,128.9,122.03,122.45,2095200,TTWO
2018-10-22,122.69,123.06,120.02,120.51,2229800,TTWO
2018-10-23,117.77,119.43,115.8,118.78,2289300,TTWO
2018-10-24,118.75,119.63,110.82,110.97,2730000,TTWO
2018-10-25,116.83,124.98,116.3,120.7,3890900,TTWO
2018-10-26,116.18,123.46,116.18,120.06,2604300,TTWO
2018-10-29,122.35,122.83,109.34,111.72,4546200,TTWO
2018-10-30,121.53,125.49,117.52,124.01,7151000,TTWO
2018-10-31,125.5,130.01,124.14,128.87,3394500,TTWO
2018-11-01,129.66,129.95,125.93,128.91,1818000,TTWO
2018-11-02,128.8,130.16,126.66,128.37,1565600,TTWO
2018-11-05,128.61,128.99,124.55,126.7,1571300,TTWO
2018-11-06,125.56,127.29,121.89,123.68,1774800,TTWO
2018-11-07,126.15,128.14,124.55,125.81,3921000,TTWO
2018-11-08,129.11,129.98,117.8,119.14,7484000,TTWO
2018-11-09,115.64,116.39,109.34,113.05,6327800,TTWO
2018-11-12,111.27,112.22,105.59,109.03,5024700,TTWO
2018-11-13,109.05,110.95,106.49,107.0,3145900,TTWO
2018-11-14,107.66,109.75,104.67,106.57,2577400,TTWO
2018-11-15,105.9,114.41,105.73,113.06,5046900,TTWO
2018-11-16,111.35,114.66,110.66,113.93,3867000,TTWO
2018-11-19,115.25,115.5,104.77,106.0,4352900,TTWO
2018-11-20,100.8,106.83,97.57,104.72,3263300,TTWO
2018-11-21,107.05,108.49,105.56,106.84,2069000,TTWO
2018-11-23,105.18,107.48,104.98,105.5,641600,TTWO
2018-11-26,107.32,110.53,106.25,110.44,1837700,TTWO
2018-11-27,109.75,111.7,108.25,109.56,1480000,TTWO
2018-11-28,109.9,111.25,107.77,110.63,2003300,TTWO
2018-11-29,109.5,112.95,109.17,111.91,1518100,TTWO
2018-11-30,111.39,112.2,108.9,109.67,2562100,TTWO
2018-12-03,112.0,112.01,100.96,103.46,8217000,TTWO
2018-12-04,104.38,106.51,100.5,101.69,3848800,TTWO
2018-12-06,99.0,106.55,98.0,106.2,3470400,TTWO
2018-12-07,105.24,108.18,101.71,102.67,2899900,TTWO
2018-12-10,102.12,105.9,102.11,105.24,1812500,TTWO
2018-12-11,107.46,107.91,104.58,105.42,3398100,TTWO
2018-12-12,107.83,108.13,103.48,104.19,3947200,TTWO
2018-12-13,105.08,106.59,102.91,105.9,2291300,TTWO
2018-12-14,103.87,105.9,102.24,103.46,1762600,TTWO
2018-12-17,102.5,105.87,100.44,102.19,1840500,TTWO
2018-12-18,103.39,104.76,102.51,103.43,1367400,TTWO
2018-12-19,102.88,107.18,102.12,103.05,1906300,TTWO
2018-12-20,101.82,104.86,100.57,102.1,2230600,TTWO
2018-12-21,102.48,104.72,99.91,101.37,3389700,TTWO
2018-12-24,99.76,101.9,98.5,98.76,1305900,TTWO
2018-12-26,99.9,104.71,99.64,104.63,2041200,TTWO
2018-12-27,101.98,106.16,101.17,106.15,2067800,TTWO
2018-12-28,107.18,107.35,103.51,104.57,1897500,TTWO
2018-12-31,105.06,105.75,101.96,102.94,2169900,TTWO
2019-01-02,100.24,104.52,99.04,104.01,1947400,TTWO
2019-01-03,102.4,103.0,99.11,99.15,2301100,TTWO
2019-01-04,101.13,103.76,99.66,101.7,3610800,TTWO
2019-01-07,101.5,104.94,99.29,104.41,2501900,TTWO
2019-01-08,106.21,109.45,105.25,107.92,2402200,TTWO
2019-01-09,108.7,109.58,107.19,107.46,1765800,TTWO
2019-01-10,106.63,110.43,106.2,110.0,1637200,TTWO
2019-01-11,109.53,111.69,107.8,109.03,1840300,TTWO
2019-01-14,108.29,108.5,104.37,104.98,4607700,TTWO
2019-01-15,105.2,107.0,102.53,106.49,4232000,TTWO
2019-01-16,106.81,107.5,104.58,105.93,2150800,TTWO
2019-01-17,105.14,106.16,104.42,105.37,1602900,TTWO
2019-01-18,106.65,108.66,106.32,108.26,2567200,TTWO
2019-01-22,107.69,108.22,106.72,107.33,1534200,TTWO
2019-01-23,107.86,108.12,99.72,99.81,3736200,TTWO
2019-01-24,100.43,102.16,99.85,101.49,1874900,TTWO
2019-01-25,102.5,104.5,101.02,103.7,1815900,TTWO
2019-01-28,100.75,102.94,100.15,102.39,1599700,TTWO
2019-01-29,102.51,102.64,98.5,100.81,1569700,TTWO
2019-01-30,102.81,102.98,100.95,102.6,1369200,TTWO
2019-01-31,102.91,106.37,102.78,105.55,1684000,TTWO
2019-02-01,105.4,106.0,103.53,104.95,1545300,TTWO
2019-02-04,105.91,107.41,105.46,106.3,1675000,TTWO
2019-02-05,106.69,109.0,106.65,107.29,3601600,TTWO
2019-02-06,96.76,99.82,91.49,92.53,18945000,TTWO
2019-02-07,92.56,98.57,92.0,96.39,7948900,TTWO
2019-02-08,95.4,97.24,94.38,97.14,4714400,TTWO
2019-02-11,97.63,97.83,92.84,93.44,4459000,TTWO
2019-02-12,90.85,90.97,86.9,89.25,10361800,TTWO
2019-02-13,90.05,92.41,88.89,92.14,5514600,TTWO
2019-02-14,91.62,94.29,90.65,93.28,3286400,TTWO
2019-02-15,94.03,94.07,92.28,93.3,2401600,TTWO
2019-02-19,93.08,93.75,91.84,93.27,1857100,TTWO
2019-02-20,93.48,93.48,86.91,88.67,6564200,TTWO
2019-02-21,88.76,89.01,87.01,87.59,2758800,TTWO
2019-02-22,88.0,88.28,85.96,87.07,2436900,TTWO
2019-02-25,87.52,87.77,85.57,87.29,2700700,TTWO
2019-02-26,87.3,88.91,86.44,87.34,2040400,TTWO
2019-02-27,87.12,88.5,84.41,84.63,3680800,TTWO
2019-02-28,84.71,87.92,84.56,87.26,3722000,TTWO
2019-03-01,87.71,88.91,86.93,88.32,2028100,TTWO
2019-03-04,88.8,89.8,86.32,87.44,2110200,TTWO
2019-03-05,87.72,87.72,86.22,87.37,1371600,TTWO
2019-03-06,87.33,88.52,86.96,87.2,1342900,TTWO
2019-03-07,86.95,88.56,86.17,88.41,1700400,TTWO
2019-03-08,87.36,87.57,85.83,87.04,2370300,TTWO
2019-03-11,87.56,90.04,87.27,89.8,2267500,TTWO
2019-03-12,89.88,90.14,88.93,89.85,2329900,TTWO
2019-03-13,90.17,96.34,89.54,96.03,7636700,TTWO
2019-03-14,93.6,93.68,90.78,92.43,3808500,TTWO
2019-03-15,92.32,94.62,92.32,93.55,2333600,TTWO
2019-03-18,93.83,94.71,92.62,93.83,1831900,TTWO
2019-03-19,94.64,96.85,94.47,95.79,2112300,TTWO
2019-03-20,96.45,97.84,95.53,96.06,2457600,TTWO
2019-03-21,95.65,99.8,95.6,99.11,2874400,TTWO
2019-03-22,98.89,100.44,95.8,96.02,1850200,TTWO
2019-03-25,95.87,96.36,94.51,96.03,1777800,TTWO
2019-03-26,96.85,98.71,95.9,96.37,2134900,TTWO
2019-03-27,96.42,96.56,93.78,94.49,1496600,TTWO
2019-03-28,94.66,96.67,94.1,96.49,1325000,TTWO
